2017-12-09 03:03:48,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50791 ] 
2017-12-09 03:03:48,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50791 ]
2017-12-09 03:03:48,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50791 ] 
2017-12-09 03:03:48,921 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50791 ]
2017-12-09 03:03:49,922 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50792 ] 
2017-12-09 03:03:49,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50792 ]
2017-12-09 03:03:49,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50792 ] 
2017-12-09 03:03:49,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50792 ]
2017-12-09 03:03:50,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50793 ] 
2017-12-09 03:03:50,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50793 ]
2017-12-09 03:03:50,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50793 ] 
2017-12-09 03:03:50,923 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50793 ]
2017-12-09 03:03:51,924 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50794 ] 
2017-12-09 03:03:51,924 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50794 ]
2017-12-09 03:03:51,924 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50794 ] 
2017-12-09 03:03:51,925 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50794 ]
2017-12-09 03:03:52,925 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50795 ] 
2017-12-09 03:03:52,926 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50795 ]
2017-12-09 03:03:52,926 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50795 ] 
